 New_cases,Temperature ,Specific Humidity,Relative Humidity,Wind Speed(50)
38902,5.11,19.46,82.9,4.73
40425,6.06,19.54,83.36,4.08
37148,6.57,18.49,79.48,3.24
37724,6.81,19.53,81.8,2.95
45720,4.5,19.42,88.73,4.3
49310,6.64,19.08,87.26,3.52
48916,5.93,18.62,85.42,2.82
48661,9.01,18.55,77.22,3.58
49931,6.81,19.32,81.58,3.96
47703,5.69,19.87,86.18,4.83
48513,5.63,19.61,84.7,3.25
52123,8.53,19.18,78.51,3.34
55078,7.22,20.29,80.41,1.51
57118,5.98,20.53,83.26,1.75
54735,5.3,20.73,86.55,2.43
52972,5.77,19.71,84.37,2.8
52050,7.18,19.44,82.47,4.84
52509,6.25,20.35,85.65,3.37
56282,6.04,19.34,84.01,4.96
62538,9.3,19.1,80.64,6.59
61537,7.86,19.13,82.18,6.96
64399,7.22,19.12,84.02,7.38
62064,5.53,19.24,86.81,6.65
53601,5.62,19.44,87.46,6.87
60963,5.98,19.24,87.81,8.21
66999,4.14,19.36,92.11,8.11
64553,4.88,19.57,91.78,8.47
65002,6.23,19.1,88.9,8
63490,5.74,18.85,89.08,7.78
57981,5.78,19.03,89.53,7.04
55079,5.83,18.77,90.03,6.52
64531,7.37,19.34,87.51,6.83
69652,4.97,19.6,91.84,6.51
68898,5.03,19.47,90.98,8.02
69878,5.51,19.44,92.09,7.55
69239,6.57,19.39,87.37,8.15
61408,7.88,19.03,85.28,7.46
60975,7.89,18.74,85.57,6.2
67151,7.27,18.78,86.43,4.95
75760,4.77,18.39,90.26,5.65
77266,5.02,18.49,91.23,6.04
76472,4.21,18.64,91.92,5.67
78761,6.61,18.39,87.29,6.68
78512,9.09,18.5,85.29,6.48
69921,8.07,17.92,82.21,3.55
78357,7.82,17.63,80.39,3.21
83883,9.26,17.06,74.44,2.85
83341,10.1,18.35,78.91,3.31
86432,6.8,19.3,82.37,2.99
90632,7.85,18.98,78.31,2.58
90802,7.32,19.62,85.4,3.94
75809,6.44,19.04,84.37,2.77
89706,6.74,19.55,85.19,2.39
95735,6.73,19.74,87.26,2.74
96551,5,19.46,88.59,1.46
97570,6.99,19.22,84.64,2.55
94372,5.99,19.75,87.17,2.67
92071,5.6,19.92,90.13,4.01
83809,6.28,20.08,87.94,3.81
90123,5.63,20.69,88.45,1.73
97894,6.36,20.75,87.77,3.64
96424,5.5,20.67,89.41,5.84
93337,4.68,20.26,91.27,5.3
92605,4.84,20.3,92.52,4.89
86961,5.8,20.07,87.04,3.05
75083,4.52,20.35,90.71,2.92
83347,6.77,20.05,88.12,3.21
86508,5.87,19.92,89.14,4.74
86052,5.42,19.63,88.4,4.05
85362,6.07,18.55,87.14,5.62
